doc_id,target_size,overlap,n_chunks,avg_len,min_len,max_len
ley_32069,100,0.0,2144,102.3,30,129
ley_32069,100,0.2,2641,102.1,30,125
ley_32069,200,0.0,1098,200.8,61,268
ley_32069,200,0.2,1352,200.9,68,261
ley_32069,300,0.0,741,298.0,93,387
ley_32069,300,0.2,914,298.4,90,379
ley_32069,500,0.0,447,494.7,164,620
ley_32069,500,0.2,555,489.7,150,647
ds_001_2026_ef,100,0.0,1066,102.5,39,130
ds_001_2026_ef,100,0.2,1313,102.0,36,114
ds_001_2026_ef,200,0.0,546,201.1,73,233
ds_001_2026_ef,200,0.2,674,201.3,61,241
ds_001_2026_ef,300,0.0,367,299.6,99,386
ds_001_2026_ef,300,0.2,454,299.4,91,314
ds_001_2026_ef,500,0.0,223,493.7,214,584
ds_001_2026_ef,500,0.2,275,493.6,173,638
