timestamp,model,tokens_in,tokens_out,cost_usd,latency_ms,success
2026-09-23T11:36:08.586430,gpt-4o-mini,0,0,0.0,0.0,False
2026-09-23T13:06:00.595421,gpt-4o-mini,0,0,0.0,0.0,False
2026-09-23T13:24:06.309387+00:00,gemini-2.0-flash,0,0,0.0,0.0,False
2026-09-23T13:25:19.859276+00:00,gemini-2.0-flash,0,0,0.0,0.0,False
2026-09-23T13:27:17.841986+00:00,gemini-3.6-flash,515,27,0.0,19643.4,True
2026-09-23T13:28:55.488908+00:00,gemini-3.6-flash,633,70,0.0,5583.1,True
2026-09-24T04:02:57.926051+00:00,gemini-3.6-flash,0,0,0.0,0.0,False
2026-09-24T04:13:32.720092+00:00,gemini-3.6-flash,0,0,0.0,0.0,False
2026-09-24T04:13:35.600751+00:00,gemini-3.6-flash,0,0,0.0,0.0,False
2026-09-24T04:14:22.590525+00:00,gemini-3.6-flash,0,0,0.0,0.0,False
2026-09-24T04:18:21.824146+00:00,gemini-3.6-flash,0,0,0.0,0.0,False
2026-09-24T04:21:48.316887+00:00,command-r,0,0,0.0,0.0,False
2026-09-24T04:23:45.141046+00:00,command-r-08-2024,674,37,0.0,1048.6,True
2026-09-24T04:25:14.218956+00:00,command-r-08-2024,665,59,0.0,1704.3,True
2026-09-24T04:25:22.828623+00:00,command-r-08-2024,674,37,0.0,4757.9,True
2026-09-24T04:27:45.402218+00:00,command-r-08-2024,665,59,0.0,3671.7,True
