Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Artículos Adjudicados:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:ID,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Descripción,Entrega compilada:Adjudicaciones:Artículos Adjudicados:Clasificaciones adicionales:Esquema,_mes_origen
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889-1833559,21340309,81101508.0,Ingeniería arquitectónica,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,1181800-1762914,21195730,72141128.0,Servicio de remodelación  y/o construcción de plazas públicas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184347,ocds-dgv273-seacev3-1184347-2026-09-23T10:17:19.149679-05:00,1184347-1760666,21193819,72141128.0,Servicio de remodelación  y/o construcción de plazas públicas,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185330,ocds-dgv273-seacev3-1185330-2026-09-23T10:17:09.009769-05:00,1185330-1764483,21196782,81101510.0,Ingeniería de carreteras,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184427,ocds-dgv273-seacev3-1184427-2026-09-23T10:17:08.917590-05:00,1184427-20520775596,21194341,45121516.0,Videocámaras o cámaras de video digitales,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185367,ocds-dgv273-seacev3-1185367-2026-09-23T10:17:08.763445-05:00,1185367-1765326,21198878,72141003.0,Servicios de mantenimiento de pistas y carreteras,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185153,ocds-dgv273-seacev3-1185153-2026-09-23T10:17:08.726429-05:00,1185153-1763586,21198473,72141003.0,Servicios de mantenimiento de pistas y carreteras,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20220539572,21244302,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20409314491,21244303,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20480402929,21244319,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,1203238-20490323661,21244310,92101501.0,Servicios de vigilancia,UNSPSC,2026-01_seace_v3_csv_es
