Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/currency,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/rate,_mes_origen
ocds-dgv273-seacev3-1191393,ocds-dgv273-seacev3-1191393-2026-03-07T10:04:35.985142-05:00,2379595,21211282,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1188856,ocds-dgv273-seacev3-1188856-2026-02-28T10:10:12.893015-05:00,2378403,21204562,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185887,ocds-dgv273-seacev3-1185887-2026-02-06T10:03:25.738456-05:00,2375395,21197261,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185555,ocds-dgv273-seacev3-1185555-2026-02-06T10:03:25.154721-05:00,2375484,21196952,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185861,ocds-dgv273-seacev3-1185861-2026-02-05T10:04:03.626947-05:00,2375183,21199409,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185451,ocds-dgv273-seacev3-1185451-2026-02-04T10:04:05.408642-05:00,2374997,21196903,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-20006-1,ocds-dgv273-seacev3-2026-20006-1-2026-02-04T10:04:00.921292-05:00,2375045,21195547,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-20006-1,ocds-dgv273-seacev3-2026-20006-1-2026-02-04T10:04:00.921292-05:00,2375038,21195546,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185408,ocds-dgv273-seacev3-1185408-2026-01-30T10:02:49.984101-05:00,2374436,21198924,PEN,3.942131935,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-129,ocds-dgv273-seacev3-2026-1947-129-2026-01-30T10:02:49.854610-05:00,2374507,21198572,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-130,ocds-dgv273-seacev3-2026-1947-130-2026-01-30T10:02:36.968753-05:00,2374568,21196521,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-131,ocds-dgv273-seacev3-2026-1947-131-2026-01-30T10:02:29.466402-05:00,2374566,21196533,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184382,ocds-dgv273-seacev3-1184382-2026-01-29T10:02:23.226606-05:00,2372579,21193836,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184748,ocds-dgv273-seacev3-1184748-2026-01-29T10:01:50.509616-05:00,2374232,21195553,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185173,ocds-dgv273-seacev3-1185173-2026-01-28T10:02:17.323521-05:00,2374069,21198540,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185002,ocds-dgv273-seacev3-1185002-2026-01-23T10:02:37.081499-05:00,2373726,21195958,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184494,ocds-dgv273-seacev3-1184494-2026-01-22T10:01:34.430330-05:00,2373491,21194462,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184730,ocds-dgv273-seacev3-1184730-2026-01-18T09:55:14.465697-05:00,2373244,21195480,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184357,ocds-dgv273-seacev3-1184357-2026-01-09T10:03:40.284452-05:00,2372535,21193831,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1208959,ocds-dgv273-seacev3-1208959-2026-05-07T10:36:21.753937-05:00,2390327,21258470,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-70,ocds-dgv273-seacev3-2026-10249-70-2026-03-08T09:59:16.324026-05:00,2378717,21205277,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-33,ocds-dgv273-seacev3-2026-1922-33-2026-03-06T10:10:14.413596-05:00,2379423,21213998,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-163,ocds-dgv273-seacev3-2026-1947-163-2026-03-06T10:10:02.638380-05:00,2379390,21211144,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1192078,ocds-dgv273-seacev3-1192078-2026-03-06T10:09:31.801768-05:00,2379507,21212745,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191152,ocds-dgv273-seacev3-1191152-2026-03-05T10:11:05.831536-05:00,2379160,21210633,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-99,ocds-dgv273-seacev3-2026-10249-99-2026-03-05T10:10:53.335129-05:00,2379106,21204292,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1191991,ocds-dgv273-seacev3-1191991-2026-03-04T10:08:38.275615-05:00,2378922,21212857,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1192035,ocds-dgv273-seacev3-1192035-2026-03-04T10:08:27.584983-05:00,2378925,21212925,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-7,ocds-dgv273-seacev3-2026-1947-7-2026-03-04T10:08:16.511608-05:00,2378944,21211926,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1192014,ocds-dgv273-seacev3-1192014-2026-03-04T10:08:15.791330-05:00,2378927,21212699,PEN,3.356975,2026-02_seace_v3_csv_es
