Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/position,Entrega compilada:Contratos:Artículos Contratados:Descripción,compiledRelease/contracts/0/items/0/statusDetails,compiledRelease/contracts/0/items/0/status,Entrega compilada:Contratos:Artículos Contratados:Clasificación:ID,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Descripción,Entrega compilada:Contratos:Artículos Contratados:Clasificación:Esquema,Entrega compilada:Contratos:Artículos Contratados:Cantidad,compiledRelease/contracts/0/items/0/totalValue/amount,compiledRelease/contracts/0/items/0/totalValue/currency,compiledRelease/contracts/0/items/0/totalValue/currencyName,Entrega compilada:Contratos:Artículos Contratados:Unidad:ID,Entrega compilada:Contratos:Artículos Contratados:Unidad:Nombre,Entrega compilada:Contratos:Artículos Contratados:Unidad:Esquema,_mes_origen
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,2424135,21340309,1,Supervisión del proyecto bajo la modalidad de OxI: MEJORAMIENTO DEL SERVICIO DE EDUCACIÓN SECUNDARIA EN I.E. NUESTRO SEÑOR DE LA MISERICORDIA DISTRITO DE LUCMA DE LA PROVINCIA DE GRAN CHIMU DEL DEPARTAMENTO DE LA LIBERTAD. CUI 2681968,Contratado,active,8110150800337178.0,SUPERVISION DE OBRA DE CONSTRUCCION DE CENTROS EDUCATIVOS,CUBSO,1.0,1130853.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,2378976,21195730,1,CONTRATACIÓN PARA EJECUCIÓN DE OBRA DEL PROYECTO DENOMINADO:  MEJORAMIENTO DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE 02 DE LA ASOC. DE VIV. LAS VEGAS Y PARQUE 01 DE LA ASOC. DE VIV. LAS FLORES DISTRITO DE SANTA ANITA DE LA PROVINCIA DE L,Contratado,active,7214112800364494.0,REMODELACION DE PARQUES Y PLAZAS,CUBSO,1.0,2280431.61,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184347,ocds-dgv273-seacev3-1184347-2026-09-23T10:17:19.149679-05:00,2376739,21193819,1,"MEJORAMIENTO DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL DEL AA.HH HUASCAR DISTRITO DE SANTA ANITA DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA, CON CUI 2656881",Contratado,active,7214112800364494.0,REMODELACION DE PARQUES Y PLAZAS,CUBSO,1.0,1995705.59,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185330,ocds-dgv273-seacev3-1185330-2026-09-23T10:17:09.009769-05:00,2386788,21196782,1,"Supervisión de la obra: ¿MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN CAMINO VECINAL LA-579, LA-582, LA-580: DISTRITO DE ILLIMO - CRUCE CEMENTERIO - CRUCE COLOCHE - SAN PEDRO DE SASAPE - SAN ISIDRO - TRAPICHE, DISTRITO DE ILLIMO",Contratado,active,8110151000336392.0,"Ssupervisión de la obra: ¿MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN CAMINO VECINAL LA-579, LA-582, LA-580: DISTRITO DE ILLIMO - CRUCE CEMENTERIO - CRUCE COLOCHE - SAN PEDRO DE SASAPE - SAN ISIDRO - TRAPICHE, DISTRITO DE ILLIMO",CUBSO,1.0,496067.16,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184427,ocds-dgv273-seacev3-1184427-2026-09-23T10:17:08.917590-05:00,2423881,21194341,1,CAMARAS DE VIDEO DIGITAL CORPORAL,Contratado,active,4512151600257982.0,CAMARA DE VIDEO DIGITAL TIPO PROFESIONAL DE ALTA DEFINICION,CUBSO,75.0,154050.0,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185367,ocds-dgv273-seacev3-1185367-2026-09-23T10:17:08.763445-05:00,2381787,21198878,1,"EJECUCIÓN DE LA OBRA DE LA INVERSIÓN IOARR: RENOVACION DE PAVIMENTO; EN EL(LA) AMBITO DE VÍAS LOCALES DE LA ZONA 2 Y 3 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA¿ CON CUI Nº 2705666",Contratado,active,7214100300342329.0,MEJORAMIENTO DE PISTAS Y VEREDAS,CUBSO,1.0,1369162.87,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185153,ocds-dgv273-seacev3-1185153-2026-09-23T10:17:08.726429-05:00,2379558,21198473,1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿RENOVACIÓN DE PAVIMENTO; EN EL AMBITO DE LA ZONA 37 Y 40 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA¿ CON CUI 2705657",Contratado,active,7214100300342329.0,MEJORAMIENTO DE PISTAS Y VEREDAS,CUBSO,1.0,3188024.49,PEN,Soles,40,Unidad,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,2419957,21244303,4,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA EEA LOS CEDROS,Contratado,active,9210150100094854.0,SERVICIO DE SEGURIDAD Y VIGILANCIA,CUBSO,1.0,228360.0,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,2419967,21244319,19,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA EEA AMAZONAS,Contratado,active,9210150100094854.0,SERVICIO DE SEGURIDAD Y VIGILANCIA,CUBSO,1.0,399219.84,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,2419969,21244310,11,SERVICIO DE SEGURIDAD Y VIGILANCIA PARA EEA AREQUIPA,Contratado,active,9210150100094854.0,SERVICIO DE SEGURIDAD Y VIGILANCIA,CUBSO,1.0,793716.96,PEN,Soles,36,Servicio,PE-SEACE3-UnidadMedida,2026-01_seace_v3_csv_es
