Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,compiledRelease/tender/items/0/totalValue/exchangeRates/0/currency,compiledRelease/tender/items/0/totalValue/exchangeRates/0/rate,_mes_origen
ocds-dgv273-seacev3-1185582,ocds-dgv273-seacev3-1185582-2026-04-17T10:28:35.991012-05:00,1185582,21196959,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185582,ocds-dgv273-seacev3-1185582-2026-04-17T10:28:35.991012-05:00,1185582,21196959,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-19,ocds-dgv273-seacev3-2026-1926-19-2026-04-08T10:12:22.679406-05:00,1185929,21197283,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-19,ocds-dgv273-seacev3-2026-1926-19-2026-04-08T10:12:22.679406-05:00,1185929,21197283,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1201816,ocds-dgv273-seacev3-1201816-2026-04-03T10:06:58.030525-05:00,1201816,21238829,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1201675,ocds-dgv273-seacev3-1201675-2026-04-02T10:14:06.973491-05:00,1201675,21238424,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-16,ocds-dgv273-seacev3-2026-1926-16-2026-03-18T10:11:37.233937-05:00,1184445,21194190,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-16,ocds-dgv273-seacev3-2026-1926-16-2026-03-18T10:11:37.233937-05:00,1184445,21194190,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185166,ocds-dgv273-seacev3-1185166-2026-03-15T10:14:25.235157-05:00,1185166,21198530,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185648,ocds-dgv273-seacev3-1185648-2026-03-11T10:12:43.181814-05:00,1185648,21199156,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185648,ocds-dgv273-seacev3-1185648-2026-03-11T10:12:43.181814-05:00,1185648,21199156,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1191393,ocds-dgv273-seacev3-1191393-2026-03-07T10:04:35.985142-05:00,1191393,21211282,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1191393,ocds-dgv273-seacev3-1191393-2026-03-07T10:04:35.985142-05:00,1191393,21211282,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1188856,ocds-dgv273-seacev3-1188856-2026-02-28T10:10:12.893015-05:00,1188856,21204562,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1188856,ocds-dgv273-seacev3-1188856-2026-02-28T10:10:12.893015-05:00,1188856,21204562,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185547,ocds-dgv273-seacev3-1185547-2026-02-15T09:57:21.841879-05:00,1185547,21196943,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185678,ocds-dgv273-seacev3-1185678-2026-02-15T09:57:10.630248-05:00,1185678,21197032,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185678,ocds-dgv273-seacev3-1185678-2026-02-15T09:57:10.630248-05:00,1185678,21197032,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-11,ocds-dgv273-seacev3-2026-1926-11-2026-02-12T10:06:41.599482-05:00,1184783,21195555,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185887,ocds-dgv273-seacev3-1185887-2026-02-06T10:03:25.738456-05:00,1185887,21197261,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185555,ocds-dgv273-seacev3-1185555-2026-02-06T10:03:25.154721-05:00,1185555,21196952,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185861,ocds-dgv273-seacev3-1185861-2026-02-05T10:04:03.626947-05:00,1185861,21199409,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185451,ocds-dgv273-seacev3-1185451-2026-02-04T10:04:05.408642-05:00,1185451,21196903,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-20006-1,ocds-dgv273-seacev3-2026-20006-1-2026-02-04T10:04:00.921292-05:00,1184776,21195547,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-20006-1,ocds-dgv273-seacev3-2026-20006-1-2026-02-04T10:04:00.921292-05:00,1184776,21195546,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185408,ocds-dgv273-seacev3-1185408-2026-01-30T10:02:49.984101-05:00,1185408,21198924,PEN,3.942131935,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-129,ocds-dgv273-seacev3-2026-1947-129-2026-01-30T10:02:49.854610-05:00,1185247,21198572,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-130,ocds-dgv273-seacev3-2026-1947-130-2026-01-30T10:02:36.968753-05:00,1185102,21196521,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-131,ocds-dgv273-seacev3-2026-1947-131-2026-01-30T10:02:29.466402-05:00,1185109,21196533,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184382,ocds-dgv273-seacev3-1184382-2026-01-29T10:02:23.226606-05:00,1184382,21193836,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184748,ocds-dgv273-seacev3-1184748-2026-01-29T10:01:50.509616-05:00,1184748,21195553,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185173,ocds-dgv273-seacev3-1185173-2026-01-28T10:02:17.323521-05:00,1185173,21198540,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1185002,ocds-dgv273-seacev3-1185002-2026-01-23T10:02:37.081499-05:00,1185002,21195958,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184494,ocds-dgv273-seacev3-1184494-2026-01-22T10:01:34.430330-05:00,1184494,21194462,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184730,ocds-dgv273-seacev3-1184730-2026-01-18T09:55:14.465697-05:00,1184730,21195480,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1184357,ocds-dgv273-seacev3-1184357-2026-01-09T10:03:40.284452-05:00,1184357,21193831,PEN,3.35675,2026-01_seace_v3_csv_es
ocds-dgv273-seacev3-1186137,ocds-dgv273-seacev3-1186137-2026-07-30T10:06:39.299694-05:00,1186137,21197533,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186697,ocds-dgv273-seacev3-1186697-2026-07-24T10:23:45.682443-05:00,1186697,21197978,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186268,ocds-dgv273-seacev3-1186268-2026-07-23T10:29:04.691509-05:00,1186268,21199814,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1190700,ocds-dgv273-seacev3-1190700-2026-07-16T10:25:56.794157-05:00,1190700,21209779,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2439-33,ocds-dgv273-seacev3-2026-2439-33-2026-07-08T12:24:34.503743-05:00,1187554,21201545,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2439-33,ocds-dgv273-seacev3-2026-2439-33-2026-07-08T12:24:34.503743-05:00,1187554,21201545,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2439-33,ocds-dgv273-seacev3-2026-2439-33-2026-07-08T12:24:34.503743-05:00,1187554,21201544,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2439-33,ocds-dgv273-seacev3-2026-2439-33-2026-07-08T12:24:34.503743-05:00,1187554,21201544,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-20006-3,ocds-dgv273-seacev3-2026-20006-3-2026-06-25T10:28:02.640482-05:00,1189859,21207032,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-20006-3,ocds-dgv273-seacev3-2026-20006-3-2026-06-25T10:28:02.640482-05:00,1189859,21207032,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1186220,ocds-dgv273-seacev3-1186220-2026-06-21T10:12:25.215232-05:00,1186220,21197612,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-11,ocds-dgv273-seacev3-2026-10248-11-2026-06-19T10:30:07.989522-05:00,1191976,21212658,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-11,ocds-dgv273-seacev3-2026-10248-11-2026-06-19T10:30:07.989522-05:00,1191976,21212658,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200018-6,ocds-dgv273-seacev3-2026-200018-6-2026-05-30T10:22:27.297529-05:00,1192079,21213100,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200018-6,ocds-dgv273-seacev3-2026-200018-6-2026-05-30T10:22:27.297529-05:00,1192079,21213100,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200018-6,ocds-dgv273-seacev3-2026-200018-6-2026-05-30T10:22:27.297529-05:00,1192079,21213099,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200018-6,ocds-dgv273-seacev3-2026-200018-6-2026-05-30T10:22:27.297529-05:00,1192079,21213099,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2439-32,ocds-dgv273-seacev3-2026-2439-32-2026-05-24T10:08:27.995879-05:00,1191561,21211607,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2439-32,ocds-dgv273-seacev3-2026-2439-32-2026-05-24T10:08:27.995879-05:00,1191561,21211607,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1998-1,ocds-dgv273-seacev3-2026-1998-1-2026-05-21T10:32:03.827064-05:00,1189757,21206607,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1998-1,ocds-dgv273-seacev3-2026-1998-1-2026-05-21T10:32:03.827064-05:00,1189757,21206607,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1188442,ocds-dgv273-seacev3-1188442-2026-05-15T10:34:05.817945-05:00,1188442,21203668,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-1208959,ocds-dgv273-seacev3-1208959-2026-05-07T10:36:21.753937-05:00,1208959,21258470,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-9,ocds-dgv273-seacev3-2026-1926-9-2026-04-22T10:35:51.381759-05:00,1188557,21203949,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-9,ocds-dgv273-seacev3-2026-1926-9-2026-04-22T10:35:51.381759-05:00,1188557,21203949,PEN,3.356975,2026-02_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-25,ocds-dgv273-seacev3-2026-1926-25-2026-04-22T10:35:36.736590-05:00,1191071,21210506,PEN,3.356975,2026-02_seace_v3_csv_es
