Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Partes involucradas:ID de Entidad,Entrega compilada:Partes involucradas:Identificadores adicionales:ID,Entrega compilada:Partes involucradas:Identificadores adicionales:Esquema,Entrega compilada:Partes involucradas:Identificadores adicionales:Nombre Legal
ocds-dgv273-seacev3-1235823,ocds-dgv273-seacev3-1235823-2026-09-23T10:18:09.449520-05:00,PE-CONSUCODE-27,20291973851,PE-RUC,OFICINA NACIONAL DE PROCESOS ELECTORALES
ocds-dgv273-seacev3-1237889,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,PE-CONSUCODE-42,20440374248,PE-RUC,GOBIERNO REGIONAL DE LA LIBERTAD Sede Central
ocds-dgv273-seacev3-1181800,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,PE-CONSUCODE-1343,20131369043,PE-RUC,MUNICIPALIDAD DISTRITAL DE SANTA ANITA
ocds-dgv273-seacev3-1184347,ocds-dgv273-seacev3-1184347-2026-09-23T10:17:19.149679-05:00,PE-CONSUCODE-1343,20131369043,PE-RUC,MUNICIPALIDAD DISTRITAL DE SANTA ANITA
ocds-dgv273-seacev3-1185330,ocds-dgv273-seacev3-1185330-2026-09-23T10:17:09.009769-05:00,PE-CONSUCODE-1297,20170302134,PE-RUC,MUNICIPALIDAD DISTRITAL DE ILLIMO
ocds-dgv273-seacev3-1184427,ocds-dgv273-seacev3-1184427-2026-09-23T10:17:08.917590-05:00,PE-CONSUCODE-1309,20131378620,PE-RUC,MUNICIPALIDAD DISTRITAL DE ATE - VITARTE
ocds-dgv273-seacev3-1185367,ocds-dgv273-seacev3-1185367-2026-09-23T10:17:08.763445-05:00,PE-CONSUCODE-1321,20131368071,PE-RUC,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA
ocds-dgv273-seacev3-1185153,ocds-dgv273-seacev3-1185153-2026-09-23T10:17:08.726429-05:00,PE-CONSUCODE-1321,20131368071,PE-RUC,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA
ocds-dgv273-seacev3-1203238,ocds-dgv273-seacev3-1203238-2026-09-23T10:17:00.755466-05:00,PE-CONSUCODE-1972,20131365994,PE-RUC,INSTITUTO NACIONAL DE INNOVACION AGRARIA - INIA
ocds-dgv273-seacev3-1184766,ocds-dgv273-seacev3-1184766-2026-09-23T10:16:56.802672-05:00,PE-CONSUCODE-33,20530689019,PE-RUC,GOBIERNO REGIONAL DE ANCASH - SEDE CENTRAL
ocds-dgv273-seacev3-2026-1234-1,ocds-dgv273-seacev3-2026-1234-1-2026-09-23T10:16:56.688458-05:00,PE-CONSUCODE-1234,20187651361,PE-RUC,MUNICIPALIDAD DISTRITAL DE CHILIA
ocds-dgv273-seacev3-1214329,ocds-dgv273-seacev3-1214329-2026-09-18T10:23:18.446848-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1215414,ocds-dgv273-seacev3-1215414-2026-09-18T10:23:18.304024-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1215821,ocds-dgv273-seacev3-1215821-2026-09-18T10:23:18.125939-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1214536,ocds-dgv273-seacev3-1214536-2026-09-18T10:23:18.071333-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1215437,ocds-dgv273-seacev3-1215437-2026-09-18T10:23:07.544026-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
ocds-dgv273-seacev3-1215341,ocds-dgv273-seacev3-1215341-2026-09-18T10:23:07.333917-05:00,PE-CONSUCODE-10,20131378549,PE-RUC,JURADO NACIONAL DE ELECCIONES
