Open Contracting ID,Entregas vinculadas:URL de la Entrega,Entregas vinculadas:Fecha de entrega,Entregas vinculadas:Etiqueta de entrega,releases/0/details/id,releases/0/details/tender/id,releases/0/details/tender/title

ocds-dgv273-seacev3-1235823,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1235823-2026-09-23T10:18:09.449520-05:00,2026-09-23T10:18:09.449508-05:00,planning;tender,ocds-dgv273-seacev3-1235823-2026-09-23T10:18:09.449520-05:00,1235823,RES-PROC-23-2026-EG-ONPE-1
ocds-dgv273-seacev3-1235823,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1235823-2026-09-22T10:12:19.360514-05:00,2026-09-22T10:12:19.360501-05:00,planning;tender,ocds-dgv273-seacev3-1235823-2026-09-22T10:12:19.360514-05:00,1235823,RES-PROC-23-2026-EG-ONPE-1
ocds-dgv273-seacev3-1237889,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,2026-09-23T10:17:57.571729-05:00,planning;tender;award;contract,ocds-dgv273-seacev3-1237889-2026-09-23T10:17:57.571742-05:00,1237889,RES-PROC-12-2025-GRLL-CE-EPS-OXI-1
ocds-dgv273-seacev3-1237889,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1237889-2026-09-18T10:23:12.958492-05:00,2026-09-18T10:23:12.958480-05:00,planning;tender;award,ocds-dgv273-seacev3-1237889-2026-09-18T10:23:12.958492-05:00,1237889,RES-PROC-12-2025-GRLL-CE-EPS-OXI-1
ocds-dgv273-seacev3-1237889,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1237889-2026-08-02T10:09:30.836019-05:00,2026-08-02T10:09:30.836006-05:00,planning;tender,ocds-dgv273-seacev3-1237889-2026-08-02T10:09:30.836019-05:00,1237889,RES-PROC-12-2025-GRLL-CE-EPS-OXI-1
ocds-dgv273-seacev3-1237889,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1237889-2026-08-01T10:19:34.503436-05:00,2026-08-01T10:19:34.503424-05:00,planning;tender,ocds-dgv273-seacev3-1237889-2026-08-01T10:19:34.503436-05:00,1237889,RES-PROC-12-2025-GRLL-CE-EPS-OXI-1
ocds-dgv273-seacev3-1181800,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,2026-09-23T10:17:52.740984-05:00,planning;tender;award;contract,ocds-dgv273-seacev3-1181800-2026-09-23T10:17:52.740997-05:00,1181800,LP-ABR-20-2025-C/MDSA-1
ocds-dgv273-seacev3-1181800,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1181800-2026-09-22T10:12:29.522380-05:00,2026-09-22T10:12:29.522367-05:00,planning;tender;award;contract,ocds-dgv273-seacev3-1181800-2026-09-22T10:12:29.522380-05:00,1181800,LP-ABR-20-2025-C/MDSA-1
ocds-dgv273-seacev3-1181800,https://contratacionesabiertas.oece.gob.pe/api/v1/release/ocds-dgv273-seacev3-1181800-2026-04-30T10:19:43.714944-05:00,2026-04-30T10:19:43.714932-05:00,planning;tender;award;contract,ocds-dgv273-seacev3-1181800-2026-04-30T10:19:43.714944-05:00,1181800,LP-ABR-20-2025-C/MDSA-1
