Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Documentos:ID,Entrega compilada:Licitación:Documentos:URL,Entrega compilada:Licitación:Documentos:Fecha de publicación,Entrega compilada:Licitación:Documentos:Fecha de modificación,Entrega compilada:Licitación:Documentos:Formato,Entrega compilada:Licitación:Documentos:Tipo de Documento,Entrega compilada:Licitación:Documentos:Título,Entrega compilada:Licitación:Documentos:Idioma,Entrega compilada:Licitación:Documentos:Descripción
ocds-dgv273-seacev3-1234860,ocds-dgv273-seacev3-1234860-2026-09-23T10:18:06.084926-05:00,1234860,24831474986031846,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=2d70cb1e-2af8-44f2-b673-7ef046a24634,2026-02-20T19:07:00-05:00,2026-03-17T22:59:42-05:00,zip,biddingDocuments,Bases Administrativas,es,
ocds-dgv273-seacev3-1234860,ocds-dgv273-seacev3-1234860-2026-09-23T10:18:06.084926-05:00,1234860,24831474986031847,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=ff3bd48e-0e06-4cc1-bb09-1bf7079e4556,2026-03-17T22:59:37-05:00,2026-03-17T22:59:42-05:00,pdf,clarifications,Pliego de absolución de consultas y observaciones,es,
ocds-dgv273-seacev3-1234860,ocds-dgv273-seacev3-1234860-2026-09-23T10:18:06.084926-05:00,1234860,24831474986031848,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b4c61ae5-4d6e-4c9d-b9cd-f62de8141295,2026-03-17T22:59:42-05:00,2026-03-17T22:59:42-05:00,zip,biddingDocuments,Bases Integradas,es,
ocds-dgv273-seacev3-1234860,ocds-dgv273-seacev3-1234860-2026-09-23T10:18:06.084926-05:00,1234860,24831474986031849,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=3e0bfab0-1d4c-4313-947d-2bc99012b785,2026-05-19T14:29:53-05:00,,zip,biddingDocuments,Documentos de Presentación de Propuestas,es,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085,24831474985910709,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=d0b43dc6-8146-4946-83cb-6c56438f047e,2026-02-24T19:06:36-05:00,2026-02-24T19:06:36-05:00,pdf,clarifications,Pliego de absolución de consultas y observaciones,es,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085,24831474985910710,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b2f5027e-5c15-4f4f-b6ba-6df604b6f5fd,2026-02-24T19:06:36-05:00,2026-02-24T19:06:36-05:00,pdf,biddingDocuments,Bases Integradas,es,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085,24831474985910711,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=5f51ee09-8480-4677-b5ad-69a82b15eb58,2026-03-04T21:31:13-05:00,,zip,biddingDocuments,Documentos de Presentación de Propuestas,es,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085,24831474985910712,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=fcfaf6c7-19ff-411c-9b66-2a9728b5e913,2026-02-18T17:37:00-05:00,2026-02-24T19:06:36-05:00,pdf,biddingDocuments,Bases Administrativas,es,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085,24831474985910713,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=b5104634-9dbb-404a-a9f3-1ec7a5940573,2026-02-18T17:37:00-05:00,2026-02-24T19:06:36-05:00,pdf,evaluationReports,Informe que sustenta la declaratoria de Desierto,es,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,1205085,24831474985912653,https://prod1.seace.gob.pe/SeaceWeb-PRO/SdescargarArchivoAlfresco?fileCode=ebcd4566-6693-41da-84d3-d8e8f86f7076,2026-04-14T17:47:41-05:00,,zip,evaluationReports,Documentos de Calificación y Evaluación,es,
