Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Partes involucradas:ID de Entidad,Entrega compilada:Partes involucradas:Nombre común,Entrega compilada:Partes involucradas:Identificador principal:ID,Entrega compilada:Partes involucradas:Identificador principal:Esquema,Entrega compilada:Partes involucradas:Identificador principal:Nombre Legal,Entrega compilada:Partes involucradas:Dirección:Dirección,Entrega compilada:Partes involucradas:Dirección:Localidad,Entrega compilada:Partes involucradas:Dirección:Región,Entrega compilada:Partes involucradas:Dirección:Departamento,Entrega compilada:Partes involucradas:Dirección:País,Entrega compilada:Partes involucradas:Punto de contacto:Teléfono,Entrega compilada:Partes involucradas:Roles de las partes,Entrega compilada:Partes involucradas:Punto de contacto:Correo electrónico,Entrega compilada:Partes involucradas:Punto de contacto:URL
ocds-dgv273-seacev3-1234860,ocds-dgv273-seacev3-1234860-2026-09-23T10:18:06.084926-05:00,PE-CONSUCODE-1584,MUNICIPALIDAD PROVINCIAL DE PIURA,1584,PE-CONSUCODE,MUNICIPALIDAD PROVINCIAL DE PIURA,CALLE ESQ AYACUCHO TACNA 377 PIURA PIURA PIURA,PIURA,PIURA,PIURA,PERU,073-602000,buyer;procuringEntity,,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-CONSUCODE-673,MUNICIPALIDAD DISTRITAL DE HUAMBOS,673,PE-CONSUCODE,MUNICIPALIDAD DISTRITAL DE HUAMBOS,JR.MIGUEL GRAU S/N,HUAMBOS,CHOTA,CAJAMARCA,PERU,,buyer;procuringEntity,,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-1780316,CONSORCIO SAN JUAN,1780316,PE-RUC,CONSORCIO SAN JUAN,,,,,,Ver dato en ficha del proveedor,tenderer,Ver datos en Ficha del Proveedor,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-1780317,CONSORCIO EJECUTOR CUTERVO,1780317,PE-RUC,CONSORCIO EJECUTOR CUTERVO,,,,,,Ver dato en ficha del proveedor,tenderer,Ver datos en Ficha del Proveedor,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-1780318,CONSORCIO PARQUE CENTRAL,1780318,PE-RUC,CONSORCIO PARQUE CENTRAL,,,,,,Ver dato en ficha del proveedor,tenderer,Ver datos en Ficha del Proveedor,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-1780319,CONSORCIO GRECIA,1780319,PE-RUC,CONSORCIO GRECIA,,,,,,Ver dato en ficha del proveedor,tenderer;supplier,Ver datos en Ficha del Proveedor,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-20541777980,GRUPO 3A CONSULTORIA & CONSTRUCCIONES S.A.C.,20541777980,PE-RUC,GRUPO 3A CONSULTORIA & CONSTRUCCIONES S.A.C.,,,,,,Ver dato en ficha del proveedor,tenderer,Ver datos en Ficha del Proveedor,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-20604147388,EJECUTORA PERU NORTE SOCIEDAD ANONIMA CERRADA,20604147388,PE-RUC,EJECUTORA PERU NORTE SOCIEDAD ANONIMA CERRADA,,,,,,Ver dato en ficha del proveedor,tenderer,Ver datos en Ficha del Proveedor,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-20495692621,TEJADA & HERMANOS SOCIEDAD DE RESPONSABILIDAD LIMITADA,20495692621,PE-RUC,TEJADA & HERMANOS SOCIEDAD DE RESPONSABILIDAD LIMITADA,,,,,,Ver dato en ficha del proveedor,tenderer,Ver datos en Ficha del Proveedor,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,PE-RUC-20603387105,ZIMA INGENIEROS CONTRATISTAS GENERALES SOCIEDAD ANONIMA CERRADA,20603387105,PE-RUC,ZIMA INGENIEROS CONTRATISTAS GENERALES SOCIEDAD ANONIMA CERRADA,,,,,,Ver dato en ficha del proveedor,tenderer,Ver datos en Ficha del Proveedor,
