Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:Artículos Contratados:ID,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/currency,compiledRelease/contracts/0/items/0/totalValue/exchangeRates/0/rate

ocds-dgv273-seacev3-2026-1960-27,ocds-dgv273-seacev3-2026-1960-27-2026-08-27T10:32:03.924543-05:00,2383802,21234452,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1922-15,ocds-dgv273-seacev3-2026-1922-15-2026-08-06T10:26:33.583004-05:00,2383986,21229894,PEN,3.44677272727273
ocds-dgv273-seacev3-1201721,ocds-dgv273-seacev3-1201721-2026-04-23T10:36:00.304149-05:00,2384424,21238467,PEN,3.98563539545455
ocds-dgv273-seacev3-1201946,ocds-dgv273-seacev3-1201946-2026-04-10T10:15:18.759649-05:00,2385338,21241301,PEN,3.44677272727273
ocds-dgv273-seacev3-1201987,ocds-dgv273-seacev3-1201987-2026-04-10T10:15:09.228399-05:00,2385340,21241391,PEN,3.44677272727273
ocds-dgv273-seacev3-1202035,ocds-dgv273-seacev3-1202035-2026-04-10T10:15:00.027946-05:00,2385343,21239704,PEN,3.44677272727273
ocds-dgv273-seacev3-1195746,ocds-dgv273-seacev3-1195746-2026-04-09T10:18:23.119597-05:00,2385010,21222375,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-13-13,ocds-dgv273-seacev3-2026-13-13-2026-04-09T10:17:46.644099-05:00,2384892,21225367,PEN,3.44677272727273
ocds-dgv273-seacev3-1201698,ocds-dgv273-seacev3-1201698-2026-04-08T10:12:47.259142-05:00,2384610,21238446,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-289,ocds-dgv273-seacev3-2026-1947-289-2026-04-08T10:12:28.272052-05:00,2384636,21239445,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-288,ocds-dgv273-seacev3-2026-1947-288-2026-04-08T10:11:53.535600-05:00,2384634,21238853,PEN,3.44677272727273
ocds-dgv273-seacev3-1201863,ocds-dgv273-seacev3-1201863-2026-04-08T10:11:51.124292-05:00,2384641,21241120,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-334,ocds-dgv273-seacev3-2026-1947-334-2026-04-03T10:07:27.857394-05:00,2384542,21221065,PEN,3.44677272727273
ocds-dgv273-seacev3-2026-1947-339,ocds-dgv273-seacev3-2026-1947-339-2026-04-02T10:14:22.923669-05:00,2384355,21238497,PEN,3.98563539545455
ocds-dgv273-seacev3-1200903,ocds-dgv273-seacev3-1200903-2026-04-01T10:15:10.858336-05:00,2383858,21235969,PEN,3.44677272727273
ocds-dgv273-seacev3-1200810,ocds-dgv273-seacev3-1200810-2026-04-01T10:14:35.621958-05:00,2384096,21236166,PEN,3.44677272727273
ocds-dgv273-seacev3-1200387,ocds-dgv273-seacev3-1200387-2026-03-29T10:02:54.692915-05:00,2383803,21234838,PEN,3.44677272727273
ocds-dgv273-seacev3-1200319,ocds-dgv273-seacev3-1200319-2026-03-29T10:02:30.750686-05:00,2383703,21234563,PEN,3.44677272727273
ocds-dgv273-seacev3-1200319,ocds-dgv273-seacev3-1200319-2026-03-29T10:02:30.750686-05:00,2383704,21234564,PEN,3.44677272727273
ocds-dgv273-seacev3-1199890,ocds-dgv273-seacev3-1199890-2026-03-28T10:10:59.750289-05:00,2383543,21233024,PEN,3.98563539545455
ocds-dgv273-seacev3-1199981,ocds-dgv273-seacev3-1199981-2026-03-28T10:10:57.350870-05:00,2383364,21233173,PEN,3.44677272727273
ocds-dgv273-seacev3-1199797,ocds-dgv273-seacev3-1199797-2026-03-28T10:10:57.222349-05:00,2383408,21232842,PEN,3.44677272727273
ocds-dgv273-seacev3-1198106,ocds-dgv273-seacev3-1198106-2026-03-28T10:10:35.153811-05:00,2383363,21227836,PEN,3.44677272727273
ocds-dgv273-seacev3-1200181,ocds-dgv273-seacev3-1200181-2026-03-28T10:10:14.217307-05:00,2383386,21233851,PEN,3.44677272727273
ocds-dgv273-seacev3-1198543,ocds-dgv273-seacev3-1198543-2026-03-28T10:10:14.046943-05:00,2383602,21229026,PEN,3.44677272727273
ocds-dgv273-seacev3-1200171,ocds-dgv273-seacev3-1200171-2026-03-28T10:09:57.219603-05:00,2383365,21233876,PEN,3.44677272727273
ocds-dgv273-seacev3-1200074,ocds-dgv273-seacev3-1200074-2026-03-28T10:09:54.386609-05:00,2383548,21233590,PEN,3.44677272727273
