Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Etiqueta de entrega,Entrega compilada:Fecha de entrega,Entrega compilada:Open Contracting ID,compiledRelease/publishedDate,Entrega compilada:Tipo de inicio,Entrega compilada:Comprador:ID de Organización,Entrega compilada:Comprador:Nombre de la Organización,Entrega compilada:Planeación:Presupuesto:Fuente del Presupuesto,Entrega compilada:Planeación:Presupuesto:Título del Proyecto,Entrega compilada:Planeación:Presupuesto:Identificador de proyecto,Entrega compilada:Planeación:Presupuesto:Monto:Monto,Entrega compilada:Planeación:Presupuesto:Monto:Moneda,Entrega compilada:Planeación:Presupuesto:Monto:Nombre de Moneda,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Título de la licitación,Entrega compilada:Licitación:Descripción de la licitación,Entrega compilada:Licitación:Entidad contratante:ID de Organización,Entrega compilada:Licitación:Entidad contratante:Nombre de la Organización,compiledRelease/tender/datePublished,Entrega compilada:Licitación:Método de contratación,Entrega compilada:Licitación:Detalles del método de contratación,Entrega compilada:Licitación:Categoría principal de contratación,Entrega compilada:Licitación:Categorías adicionales de contratación,Entrega compilada:Licitación:Valor:Monto,Entrega compilada:Licitación:Valor:Moneda,Entrega compilada:Licitación:Valor:Nombre de Moneda,compiledRelease/tender/value/amount_PEN,Entrega compilada:Licitación:Periodo de licitación:Fecha de inicio,Entrega compilada:Licitación:Periodo de licitación:Fecha de fin,Entrega compilada:Licitación:Número de licitantes,Entrega compilada:Licitación:Información Protegida,Entrega compilada:Segmentación:ID,Entrega compilada:Segmentación:Criterio,Entrega compilada:Licitación:Periodo de consulta:Fecha de inicio,Entrega compilada:Licitación:Periodo de consulta:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Duración (días)
ocds-dgv273-seacev3-1230569,ocds-dgv273-seacev3-1230569-2026-09-23T10:18:06.846554-05:00,compiled,2026-09-23T10:18:06.846539-05:00,ocds-dgv273-seacev3-1230569,2026-09-23T10:18:06.846559-05:00,tender,PE-CONSUCODE-37,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,Fondos Públicos,"MEJORAMIENTO  Y AMPLIACION DE LA OFERTA  DE SERVICIOS EDUCATIVOS DE LA I.E. INTEGRADA DE NIVEL INICIAL Y PRIMARIA DE LA LOCALIDAD DE ERAPATA, DISTRITO DE INKAWASI - LA CONVENCION - CUSCO",2332152,662200.0,PEN,Soles,1230569,SIE-SIE-8-2026-GR-CUSCO-1,"CONTRATACION DE CEMENTO PORTLAND TIPO IP POR SUMINISTRO-(META: 095) MEJORAMIENTO Y AMPLIACION DE LA OFERTA DE SERVICIOS EDUCATIVOS DE LA I.E.INTEGRADA DE NIVEL INICIAL Y PRIMARIA DE LA LOCALIDAD DE ERAPATA, DISTRITO DE INKAWASI LA CONVENCION-CUSCO.",PE-CONSUCODE-37,GOBIERNO REGIONAL DE CUSCO SEDE CENTRAL,2026-03-13T15:46:00-05:00,open,Subasta Inversa Electrónica,goods,goods,610918.0,PEN,Soles,610918.0,2026-03-13T00:00:00-05:00,2026-03-13T00:00:00-05:00,11,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,,,
ocds-dgv273-seacev3-1193137,ocds-dgv273-seacev3-1193137-2026-09-23T10:18:02.684060-05:00,compiled,2026-09-23T10:18:02.684046-05:00,ocds-dgv273-seacev3-1193137,2026-09-23T10:18:02.684065-05:00,tender,PE-CONSUCODE-1309,MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,Fondos Públicos,"MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LA AV. LA RONCADORA, A TRAVEZ DE PISTAS Y VEREDAS, TRAMO CALLE ANGAMOS HASTA JIRON GENOVA, ZONA 05, SUB ZONA 02,   DISTRITO DE ATE DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA",2671094,11450569.83,PEN,Soles,1193137,LP-SM-2-2026-MDA/C-1,"EJECUCIÓN DE LA OBRA: MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN LA AV. LA RONCADORA, A TRAVEZ DE PISTAS Y VEREDAS, TRAMO CALLE ANGAMOS HASTA JIRON GENOVA, ZONA 05, SUB ZONA 02, DISTRITO DE ATE DE LA PROVINCIA DE LIMA DEL DEPARTAMENTO DE LIMA CUI N° 2671094.",PE-CONSUCODE-1309,MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,2026-03-06T16:09:00-05:00,open,Licitación Pública,works,works,11450569.83,PEN,Soles,11450569.83,2026-03-06T00:00:00-05:00,2026-03-06T00:00:00-05:00,32,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-03-07T00:01:00-05:00,2026-03-17T23:59:00-05:00,10
ocds-dgv273-seacev3-1193335,ocds-dgv273-seacev3-1193335-2026-09-23T10:18:02.643851-05:00,compiled,2026-09-23T10:18:02.643837-05:00,ocds-dgv273-seacev3-1193335,2026-09-23T10:18:02.643856-05:00,tender,PE-CONSUCODE-43,GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,Fondos Públicos,MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA URB. EL INGENIERO I DEL DISTRITO DE CHICLAYO - PROVINCIA DE CHICLAYO - DEPARTAMENTO DE LAMBAYEQUE,2561992,4604387.75,PEN,Soles,1193335,LP-ABR-4-2026-GR.LAMB/C-1,EJECUCION DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA URB. EL INGENIERO I DEL DISTRITO DE CHICLAYO - PROVINCIA DE CHICLAYO - DEPARTAMENTO DE LAMBAYEQUE¿. CUI N° 2561992,PE-CONSUCODE-43,GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,2026-03-30T20:39:00-05:00,,Licitación Pública Abreviada,works,works,4604387.75,PEN,Soles,4604387.75,2026-03-30T00:00:00-05:00,2026-03-30T00:00:00-05:00,56,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-03-31T00:01:00-05:00,2026-04-06T23:59:00-05:00,6
ocds-dgv273-seacev3-1194543,ocds-dgv273-seacev3-1194543-2026-09-23T10:18:02.586676-05:00,compiled,2026-09-23T10:18:02.586662-05:00,ocds-dgv273-seacev3-1194543,2026-09-23T10:18:02.586681-05:00,tender,PE-CONSUCODE-203586,GOBIERNO REGIONAL DE TACNA RED DE SALUD TACNA,Fondos Públicos,,,297116.62,PEN,Soles,1194543,SIE-SIE-1-2026-REDS.T-1,ADQUISICIÓN DE COMBUSTIBLE PARA LA RED DE SALUD TACNA.,PE-CONSUCODE-203586,GOBIERNO REGIONAL DE TACNA RED DE SALUD TACNA,2026-03-09T22:48:00-05:00,open,Subasta Inversa Electrónica,goods,goods,297116.62,PEN,Soles,297116.62,2026-03-09T00:00:00-05:00,2026-03-09T00:00:00-05:00,4,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,,,
ocds-dgv273-seacev3-2026-2528-2,ocds-dgv273-seacev3-2026-2528-2-2026-09-23T10:18:02.564399-05:00,compiled,2026-09-23T10:18:02.564385-05:00,ocds-dgv273-seacev3-2026-2528-2,2026-09-23T10:18:02.564404-05:00,tender,PE-CONSUCODE-2528,EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.,Fondos Públicos,,,394193.25,PEN,Soles,1201727,CP-ABR-6-2026-ADINELSA-1,"SUPERVISION DE LA OBRA: ¿MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE ENERGIA ELECTRICA EN EL SER ACARI CHALA EN LAS PROVINCIAS DE LUCANAS Y PARINACOCHAS DEL DEPARTAMENTO DE AYACUCHO Y LA PROVINCIA DE CARAVALI DEL DEPARTAMENTO DE AREQUIPA¿ ¿ EXPEDIENTE TECNICA 1""",PE-CONSUCODE-2528,EMPRESA DE ADMINISTRACION DE INFRAESTRUCTURA ELECTRICA S.A.,2026-03-31T12:21:00-05:00,,Concurso Público Abreviado,services,services,394193.25,PEN,Soles,394193.25,2026-03-31T00:00:00-05:00,2026-03-31T00:00:00-05:00,49,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-04-01T00:01:00-05:00,2026-04-07T23:59:00-05:00,6
ocds-dgv273-seacev3-1199066,ocds-dgv273-seacev3-1199066-2026-09-23T10:18:02.540942-05:00,compiled,2026-09-23T10:18:02.540927-05:00,ocds-dgv273-seacev3-1199066,2026-09-23T10:18:02.540947-05:00,tender,PE-CONSUCODE-202945,MUNICIPALIDAD DISTRITAL DE LA MORADA,Fondos Públicos,"REPARACIÓN DE AULA DE EDUCACION INICIAL, AULA DE EDUCACION PRIMARIA, AMBIENTE DE PREPARACION Y EXPENDIO DE ALIMENTOS Y VESTUARIOS Y/O SSHH DE USUARIOS; EN EL(LA) I.E. 33158 EN LA LOCALIDAD ALTO AZUL, DISTRITO DE LA MORADA, PROVINCIA MARAÑON, DEPARTAMENTO HUANUCO",2685362,2541097.82,PEN,Soles,1199066,LP-ABR-2-2026-MDLM/C-1,"CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA IOARR: ¿REPARACIÓN DE AULA DE EDUCACIÓN INICIAL, AULA DE EDUCACIÓN PRIMARIA, AMBIENTE DE PREPARACIÓN Y EXPENDIO DE ALIMENTOS Y VESTUARIOS Y/O SSHH DE USUARIOS; EN EL(LA) I.E. 33158 EN LA LOCALIDAD ALTO AZUL,  LA MORADA - MARAÑON - HUANUCO CUI N° 2685362",PE-CONSUCODE-202945,MUNICIPALIDAD DISTRITAL DE LA MORADA,2026-03-25T12:58:00-05:00,,Licitación Pública Abreviada,works,works,2541097.82,PEN,Soles,2541097.82,2026-03-25T00:00:00-05:00,2026-03-25T00:00:00-05:00,11,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-03-26T00:01:00-05:00,2026-03-30T23:59:00-05:00,4
ocds-dgv273-seacev3-1195480,ocds-dgv273-seacev3-1195480-2026-09-23T10:18:02.506844-05:00,compiled,2026-09-23T10:18:02.506830-05:00,ocds-dgv273-seacev3-1195480,2026-09-23T10:18:02.506850-05:00,tender,PE-CONSUCODE-43,GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,Fondos Públicos,,,265526.12,PEN,Soles,1195480,CP-ABR-9-2026-GR.LAMB/C-1,"CONTRATACION DEL SERVICIO DE CONSULTORIA EN GENERAL PARA LA SUPERVISION DEL SERVICIO: SEGUNDA ETAPA DEL MANTENIMIENTO DE LA TRANSITABILIDAD VEHICULAR DE DIVERSAS CALLES Y AVENIDAS DEL DISTRITO DE CHICLAYO, PROVINCIA DE CHICLAYO, DEPARTAMENTO DE LAMBAYEQUE",PE-CONSUCODE-43,GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,2026-03-11T21:27:00-05:00,,Concurso Público Abreviado,services,services,265526.12,PEN,Soles,265526.12,2026-03-11T00:00:00-05:00,2026-03-11T00:00:00-05:00,18,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-03-12T00:01:00-05:00,2026-03-16T23:59:00-05:00,4
ocds-dgv273-seacev3-1195551,ocds-dgv273-seacev3-1195551-2026-09-23T10:18:02.488823-05:00,compiled,2026-09-23T10:18:02.488808-05:00,ocds-dgv273-seacev3-1195551,2026-09-23T10:18:02.488829-05:00,tender,PE-CONSUCODE-205010,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,Fondos Públicos,,,398000.0,PEN,Soles,1195551,CP-ABR-13-2025-OC/MDSA-2,"SERVICIO DE CONSTRUCCION E INSTALACIÓN DE COBERTURA DE TECHO ALUZINC PARA OBRA MEJORAMIENTO DE LA LOSA DEPORTIVA Y CREACION DE AREA RECREATIVA EN LA ASOCIACION ENRIQUE LOPEZ ALBUJAR EN EL DISTRITO DE SAN ANTONIO, MARISCAL NIETO, MOQUEGUA.",PE-CONSUCODE-205010,MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,2026-03-12T10:28:00-05:00,,Concurso Público Abreviado,services,services,398000.0,PEN,Soles,398000.0,2026-03-12T00:00:00-05:00,2026-03-12T00:00:00-05:00,22,False,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-03-13T00:01:00-05:00,2026-03-17T23:59:00-05:00,4
ocds-dgv273-seacev3-1252030,ocds-dgv273-seacev3-1252030-2026-09-23T10:17:59.530721-05:00,compiled,2026-09-23T10:17:59.530695-05:00,ocds-dgv273-seacev3-1252030,2026-09-23T10:17:59.530727-05:00,tender,PE-CONSUCODE-48,GOBIERNO REGIONAL DE PIURA SEDE CENTRAL,Fondos Públicos,"MEJORAMIENTO DEL CAMINO VECINAL PEDREGAL- VALLE DE LOS INCAS DE 0+000 AL 15+800 KM,  DISTRITO DE TAMBO GRANDE - PROVINCIA DE PIURA - DEPARTAMENTO DE PIURA",2536742,,,,1252030,CP CON-SM-4-2026-GRP-GRI-CS-1-1,"CONTRATACIÓN DE CONSULTORÍA DE OBRA PARA LA SUPERVISION DE LA OBRA DEL PROYECTO: ¿MEJORAMIENTO DEL CAMINO VECINAL PEDREAL ¿ VALLE LOS INCAS DE 0+000 AL 15+800 KM, DISTRITO DE TAMBOGRANDE, PROVINCIA DE PIURA, DEPARTEMENTO DE PIURA¿, CON CUI N°2536742",PE-CONSUCODE-48,GOBIERNO REGIONAL DE PIURA SEDE CENTRAL,2026-03-13T19:22:00-05:00,,Concurso Público para Consultoría,services,services,2523830.03,PEN,Soles,2523830.03,2026-03-13T00:00:00-05:00,2026-03-13T00:00:00-05:00,,True,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-03-14T00:01:00-05:00,2026-03-24T23:59:00-05:00,10
ocds-dgv273-seacev3-1250539,ocds-dgv273-seacev3-1250539-2026-09-23T10:17:56.797873-05:00,compiled,2026-09-23T10:17:56.797861-05:00,ocds-dgv273-seacev3-1250539,2026-09-23T10:17:56.797878-05:00,tender,PE-CONSUCODE-49,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,Fondos Públicos,"MEJORAMIENTO DEL SERVICIO EDUCATIVO EN LA I.E.S.  JOSÉ ANTONIO ENCINAS FRANCO, CENTRO POBLADO DE LECHEMAYO DEL DISTRITO DE SAN GABAN - PROVINCIA DE CARABAYA - DEPARTAMENTO DE PUNO",2344253,,,,1250539,CP CON-SM-7-2026-CS/GR-PUNO-1-1,"SERVICIO DE CONSULTORIA DE SUPERVISION DE EJECUCION DE OBRA MEJORAMIENTO DEL SERVICIO EDUCATIVO EN LA I.E.S JOSE ANTONIO ENCINAS FRANCO, CENTRO POBLADO DE LECHEMAYO, DEL DISTRITO DE SAN GABAN PROVINCIA DE CARABAYA, REGION PUNO, CUI. 2344253.",PE-CONSUCODE-49,GOBIERNO REGIONAL DE PUNO SEDE CENTRAL,2026-03-25T16:20:00-05:00,,Concurso Público para Consultoría,services,services,1096105.15,PEN,Soles,1096105.15,2026-03-25T00:00:00-05:00,2026-03-25T00:00:00-05:00,,True,2026-03,añoInicioConvocatoria;mesInicioConvocatoria,2026-03-26T00:01:00-05:00,2026-04-08T23:59:00-05:00,13
